week,country,region,sub_region,cases,deaths
2020-11-09,France,Lorraine,Meuse,758,
2020-11-09,France,Lorraine,Moselle,5898,
2020-11-09,France,Lorraine,Vosges,2046,
2020-11-16,France,Lorraine,Meurthe-et-Moselle,2508,
2020-11-16,France,Lorraine,Meuse,668,
2020-11-16,France,Lorraine,Moselle,4466,
2020-11-16,France,Lorraine,Vosges,1258,
2020-11-23,France,Lorraine,Meurthe-et-Moselle,1940,
2020-11-23,France,Lorraine,Meuse,574,
2020-11-23,France,Lorraine,Moselle,3308,
2020-11-23,France,Lorraine,Vosges,946,
2020-11-30,France,Lorraine,Meurthe-et-Moselle,2396,
2020-11-30,France,Lorraine,Meuse,658,
2020-11-30,France,Lorraine,Moselle,3376,
2020-11-30,France,Lorraine,Vosges,1407,
2020-12-07,France,Lorraine,Meurthe-et-Moselle,3534,
2020-12-07,France,Lorraine,Meuse,950,
2020-12-07,France,Lorraine,Moselle,4090,
2020-12-07,France,Lorraine,Vosges,1878,
2020-12-14,France,Lorraine,Meurthe-et-Moselle,4343,
2020-12-14,France,Lorraine,Meuse,1178,
2020-12-14,France,Lorraine,Moselle,4926,
2020-12-14,France,Lorraine,Vosges,2414,
2020-12-21,France,Lorraine,Meurthe-et-Moselle,3707,
2020-12-21,France,Lorraine,Meuse,945,
2020-12-21,France,Lorraine,Moselle,3924,
2020-12-21,France,Lorraine,Vosges,1584,
2020-12-28,France,Lorraine,Meurthe-et-Moselle,3014,
2020-12-28,France,Lorraine,Meuse,758,
2020-12-28,France,Lorraine,Moselle,3952,
2020-12-28,France,Lorraine,Vosges,1402,
2021-01-04,France,Lorraine,Meurthe-et-Moselle,4666,
2021-01-04,France,Lorraine,Meuse,1286,
2021-01-04,France,Lorraine,Moselle,6026,
2021-01-04,France,Lorraine,Vosges,1990,
2021-01-11,France,Lorraine,Meurthe-et-Moselle,3344,
2021-01-11,France,Lorraine,Meuse,922,
2021-01-11,France,Lorraine,Moselle,4136,
2021-01-11,France,Lorraine,Vosges,1441,
2021-01-18,France,Lorraine,Meurthe-et-Moselle,3652,
2021-01-18,France,Lorraine,Meuse,980,
2021-01-18,France,Lorraine,Moselle,4680,
2021-01-18,France,Lorraine,Vosges,1420,
2021-01-25,France,Lorraine,Meurthe-et-Moselle,3650,
2021-01-25,France,Lorraine,Meuse,684,
2021-01-25,France,Lorraine,Moselle,5726,
2021-01-25,France,Lorraine,Vosges,1246,
2021-02-01,France,Lorraine,Meurthe-et-Moselle,2967,
2021-02-01,France,Lorraine,Meuse,548,
2021-02-01,France,Lorraine,Moselle,5901,
2021-02-01,France,Lorraine,Vosges,1236,
2021-02-08,France,Lorraine,Meurthe-et-Moselle,2578,
2021-02-08,France,Lorraine,Meuse,504,
2021-02-08,France,Lorraine,Moselle,5842,
